,Date,OPEN,HIGH,LOW,PREV. CLOSE,close,Day,Week,Year,Order Type,Buy Quantity,Investment,Total Share,Total Investment,Average Price,Target,IRLower,IRUpper,Description,Prev week high - Buy price,Profit,Capital Employed,Profit Percentage,UPPER - Buy Triggered at IRUpper,LOWER - Buy Triggered at IRLower
0,2022-10-03,3440.0,3460.05,3110.2,3455.75,3157.3,Monday,40,2022,,,,,,,,,,,,,,,,
1,2022-10-04,3230.0,3291.2,3125.0,3157.3,3237.7,Tuesday,40,2022,,,,,,,,,,,,,,,,
2,2022-10-06,3270.0,3318.8,3208.05,3237.7,3285.0,Thursday,40,2022,,,,,,,,,,,,,,,,
3,2022-10-07,3280.0,3310.95,3228.15,3285.0,3277.6,Friday,40,2022,,,,,,,,,,,,,,,,
4,,,3460.05,3110.2,,,WEEKLY SUMMARY,40,2022,,,,,,,,,,,,,,,,
5,2022-10-10,3234.0,3278.75,3214.35,3277.6,3246.25,Monday,41,2022,NOTHING,,,,,,,,,,,,,,,
6,2022-10-11,3257.55,3338.0,3249.0,3246.25,3273.95,Tuesday,41,2022,NOTHING,,,,,,,,,,,,,,,
7,2022-10-12,3297.0,3297.0,3145.0,3273.95,3223.65,Wednesday,41,2022,NOTHING,,,,,,,,,,,,,,,
8,2022-10-13,3218.0,3262.8,3189.0,3223.65,3233.65,Thursday,41,2022,NOTHING,,,,,,,,,,,,,,,
9,2022-10-14,3272.0,3305.0,3194.85,3233.65,3209.5,Friday,41,2022,NOTHING,,,,,,,,,,,,,,,
10,,,3338.0,3145.0,,,WEEKLY SUMMARY,41,2022,,,,,,,,,,,,,,,,
11,2022-10-17,3211.0,3235.0,3136.1,3209.5,3212.6,Monday,42,2022,NOTHING,,,,,,,,,,,,,,,
12,2022-10-18,3249.0,3298.0,3226.1,3212.6,3284.3,Tuesday,42,2022,NOTHING,,,,,,,,,,,,,,,
13,2022-10-19,3300.0,3310.0,3259.65,3284.3,3277.25,Wednesday,42,2022,NOTHING,,,,,,,,,,,,,,,
14,2022-10-20,3260.0,3365.0,3245.0,3277.25,3357.1,Thursday,42,2022,BUY,1.0,3338.0,1.0,3338.0,3338.0,3538.28,3246.205,3429.795,Prev week high - Buy price,,,,,,
15,2022-10-21,3374.9,3382.0,3287.0,3357.1,3311.9,Friday,42,2022,NOTHING,,,,,,,,,One buy per week rule,,,,,,
16,,,3382.0,3136.1,,,WEEKLY SUMMARY,42,2022,,,,,,,,,,,,,,,,
17,2022-10-24,3325.0,3340.1,3287.4,3311.9,3309.8,Monday,43,2022,,,,,,,,,,,OUT_OF_RANGE,,,,,
18,2022-10-25,3321.95,3345.0,3294.0,3309.8,3300.5,Tuesday,43,2022,,,,,,,,,,,OUT_OF_RANGE,,,,,
19,2022-10-27,3319.85,3355.0,3297.0,3300.5,3325.0,Thursday,43,2022,,,,,,,,,,,OUT_OF_RANGE,,,,,
20,2022-10-28,3322.0,3387.95,3297.65,3325.0,3323.3,Friday,43,2022,,,,,,,,,,,OUT_OF_RANGE,,,,,
21,,,3387.95,3287.4,,,WEEKLY SUMMARY,43,2022,,,,,,,,,,,,,,,,
22,2022-10-31,3339.95,3360.0,3326.1,3323.3,3347.45,Monday,44,2022,,,,,,,,,,,OUT_OF_RANGE,,,,,
23,2022-11-01,3361.9,3607.45,3352.0,3347.45,3575.7,Tuesday,44,2022,SELL,,,0.0,0.0,,,,,"Sold 1 shares at 3538.28, Profit: 200.2800000000002",,200.2800000000002,3538.28,6.000000000000006,,
24,2022-11-02,3580.0,3625.15,3526.0,3575.7,3580.7,Wednesday,44,2022,NOTHING,,,,,,,,,,,,,,,
25,2022-11-03,3550.0,3614.7,3542.45,3580.7,3590.4,Thursday,44,2022,NOTHING,,,,,,,,,,,,,,,
26,2022-11-04,3642.0,3849.8,3566.75,3590.4,3833.25,Friday,44,2022,NOTHING,,,,,,,,,,,,,,,
27,,,3849.8,3326.1,,,WEEKLY SUMMARY,44,2022,,,,,,,,,,,,,,,,
28,2022-11-07,3852.45,4013.7,3820.0,3833.25,3960.6,Monday,45,2022,BUY,1.0,3849.8,1.0,3849.8,3849.8,4080.788,3743.931,3955.67,Prev week high - Buy price,,,,,,
29,2022-11-09,3977.0,4048.0,3943.05,3960.6,3997.2,Wednesday,45,2022,NOTHING,,,,,,,,,One buy per week rule,,,,,,
30,2022-11-10,3995.0,4030.0,3962.15,3997.2,3992.25,Thursday,45,2022,NOTHING,,,,,,,,,One buy per week rule,,,,,,
31,2022-11-11,4040.0,4048.95,3975.15,3992.25,4008.85,Friday,45,2022,NOTHING,,,,,,,,,One buy per week rule,,,,,,
32,,,4048.95,3820.0,,,WEEKLY SUMMARY,45,2022,,,,,,,,,,,,,,,,
33,2022-11-14,3999.0,4078.0,3990.0,4008.85,4022.55,Monday,46,2022,BUY,1.0,4048.95,2.0,7898.75,3949.375,4186.338,3840.767,4057.983,UPPER - Buy Triggered at IRUpper,,,,,,
34,2022-11-15,4025.05,4065.0,4022.0,4022.55,4057.8,Tuesday,46,2022,NOTHING,,,,,,,,,One buy per week rule,,,,,,
35,2022-11-16,4057.3,4096.0,3863.55,4057.8,3956.6,Wednesday,46,2022,NOTHING,,,,,,,,,One buy per week rule,,,,,,
36,2022-11-17,3970.0,4033.0,3900.0,3956.6,4018.15,Thursday,46,2022,NOTHING,,,,,,,,,One buy per week rule,,,,,,
37,2022-11-18,4028.35,4043.0,3984.0,4018.15,4019.8,Friday,46,2022,NOTHING,,,,,,,,,One buy per week rule,,,,,,
38,,,4096.0,3863.55,,,WEEKLY SUMMARY,46,2022,,,,,,,,,,,,,,,,
39,2022-11-21,4019.95,4019.95,3921.95,4019.8,4001.85,Monday,47,2022,,,,,,,,,,,,,,,OUT_OF_RANGE,
40,2022-11-22,4001.85,4056.0,3988.0,4001.85,4034.0,Tuesday,47,2022,,,,,,,,,,,,,,,OUT_OF_RANGE,
41,2022-11-23,4050.0,4061.85,3873.0,4034.0,3903.3,Wednesday,47,2022,BUY,1.0,4096.0,3.0,11994.75,3998.25,4238.145,3888.298,4108.202,UPPER - Buy Triggered at IRUpper,,,,,,
42,2022-11-24,3910.0,3935.0,3821.0,3903.3,3921.1,Thursday,47,2022,NOTHING,,,,,,,,,One buy per week rule,,,,,,
43,2022-11-25,3929.0,3949.9,3845.3,3921.1,3901.1,Friday,47,2022,NOTHING,,,,,,,,,One buy per week rule,,,,,,
44,,,4061.85,3821.0,,,WEEKLY SUMMARY,47,2022,,,,,,,,,,,,,,,,
45,2022-11-28,3899.4,3925.0,3871.4,3901.1,3886.15,Monday,48,2022,BUY,1.0,4061.85,4.0,16056.6,4014.15,4254.999,3903.761,4124.539,LOWER - Buy Triggered at IRLower,,,,,,
46,2022-11-29,3885.0,3915.0,3864.05,3886.15,3878.4,Tuesday,48,2022,NOTHING,,,,,,,,,One buy per week rule,,,,,,
47,2022-11-30,3897.8,3939.9,3867.0,3878.4,3917.9,Wednesday,48,2022,NOTHING,,,,,,,,,One buy per week rule,,,,,,
48,2022-12-01,3937.5,3944.95,3902.45,3917.9,3915.1,Thursday,48,2022,NOTHING,,,,,,,,,One buy per week rule,,,,,,
49,2022-12-02,3905.0,3963.8,3885.0,3915.1,3922.5,Friday,48,2022,NOTHING,,,,,,,,,One buy per week rule,,,,,,
50,,,3963.8,3864.05,,,WEEKLY SUMMARY,48,2022,,,,,,,,,,,,,,,,
51,2022-12-05,3928.9,3939.0,3810.05,3922.5,3930.4,Monday,49,2022,BUY,1.0,3963.8,5.0,20020.4,4004.08,4244.325,3893.968,4114.192,LOWER - Buy Triggered at IRLower,,,,,,
52,2022-12-06,3920.0,4057.0,3909.0,3930.4,4031.8,Tuesday,49,2022,NOTHING,,,,,,,,,One buy per week rule,,,,,,
53,2022-12-07,4031.0,4057.9,3984.55,4031.8,3999.3,Wednesday,49,2022,NOTHING,,,,,,,,,One buy per week rule,,,,,,
54,2022-12-08,4010.0,4045.0,4003.35,3999.3,4025.0,Thursday,49,2022,NOTHING,,,,,,,,,One buy per week rule,,,,,,
55,2022-12-09,4044.0,4094.0,3941.5,4025.0,3996.8,Friday,49,2022,NOTHING,,,,,,,,,One buy per week rule,,,,,,
56,,,4094.0,3810.05,,,WEEKLY SUMMARY,49,2022,,,,,,,,,,,,,,,,
57,2022-12-12,3997.0,4031.9,3968.75,3996.8,4016.7,Monday,50,2022,,,,,,,,,,,,,,,,OUT_OF_RANGE
58,2022-12-13,4027.8,4072.0,4011.6,4016.7,4060.2,Tuesday,50,2022,,,,,,,,,,,,,,,,OUT_OF_RANGE
59,2022-12-14,4076.0,4092.05,4040.0,4060.2,4055.8,Wednesday,50,2022,,,,,,,,,,,,,,,,OUT_OF_RANGE
60,2022-12-15,4055.8,4073.05,4025.0,4055.8,4043.75,Thursday,50,2022,,,,,,,,,,,,,,,,OUT_OF_RANGE
61,2022-12-16,4018.9,4047.9,3944.05,4043.75,3980.8,Friday,50,2022,,,,,,,,,,,,,,,,OUT_OF_RANGE
62,,,4092.05,3944.05,,,WEEKLY SUMMARY,50,2022,,,,,,,,,,,,,,,,
63,2022-12-19,3988.0,4104.0,3971.45,3980.8,4075.3,Monday,51,2022,,,,,,,,,,,,,,,,OUT_OF_RANGE
64,2022-12-20,4095.0,4172.0,4066.4,4075.3,4165.3,Tuesday,51,2022,BUY,1.0,4092.05,6.0,24112.45,4018.742,4259.866,3908.226,4129.257,UPPER - Buy Triggered at IRUpper,,,,,,
65,2022-12-21,4175.0,4190.0,3883.25,4165.3,3901.95,Wednesday,51,2022,NOTHING,,,,,,,,,One buy per week rule,,,,,,
66,2022-12-22,3948.0,3948.0,3817.05,3901.95,3868.55,Thursday,51,2022,NOTHING,,,,,,,,,One buy per week rule,,,,,,
67,2022-12-23,3822.0,3848.0,3616.8,3868.55,3642.2,Friday,51,2022,NOTHING,,,,,,,,,One buy per week rule,,,,,,
68,,,4190.0,3616.8,,,WEEKLY SUMMARY,51,2022,,,,,,,,,,,,,,,,
69,2022-12-26,3653.0,3744.9,3620.0,3642.2,3716.75,Monday,52,2022,BUY,1.0,4190.0,7.0,28302.45,4043.207,4285.8,3932.019,4154.395,LOWER - Buy Triggered at IRLower,,,,,,
70,2022-12-27,3732.45,3797.9,3695.05,3716.75,3769.65,Tuesday,52,2022,NOTHING,,,,,,,,,One buy per week rule,,,,,,
71,2022-12-28,3756.05,3825.0,3745.0,3769.65,3797.7,Wednesday,52,2022,NOTHING,,,,,,,,,One buy per week rule,,,,,,
72,2022-12-29,3790.0,3825.0,3748.1,3797.7,3810.6,Thursday,52,2022,NOTHING,,,,,,,,,One buy per week rule,,,,,,
73,2022-12-30,3829.7,3898.0,3822.05,3810.6,3858.35,Friday,52,2022,NOTHING,,,,,,,,,One buy per week rule,,,,,,
74,,,3898.0,3620.0,,,WEEKLY SUMMARY,52,2022,,,,,,,,,,,,,,,,
75,2023-01-02,3870.0,3874.0,3822.55,3858.35,3841.2,Monday,1,2023,,,,,,,,,,,,,,,,
76,2023-01-03,3841.9,3852.85,3791.0,3841.2,3830.95,Tuesday,1,2023,,,,,,,,,,,,,,,,
77,2023-01-04,3839.0,3874.95,3803.6,3830.95,3827.05,Wednesday,1,2023,,,,,,,,,,,,,,,,
78,2023-01-05,3827.05,3842.4,3756.9,3827.05,3829.8,Thursday,1,2023,,,,,,,,,,,,,,,,
79,2023-01-06,3829.0,3868.25,3797.05,3829.8,3824.25,Friday,1,2023,,,,,,,,,,,,,,,,
80,,,3874.95,3756.9,,,WEEKLY SUMMARY,1,2023,,,,,,,,,,,,,,,,
81,2023-01-09,3843.0,3880.0,3811.25,3824.25,3855.3,Monday,2,2023,BUY,1.0,3874.95,8.0,32177.4,4022.175,4263.506,3911.565,4132.785,LOWER - Buy Triggered at IRLower,,,,,,
82,2023-01-10,3859.0,3862.05,3555.0,3855.3,3646.9,Tuesday,2,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
83,2023-01-11,3660.0,3664.5,3560.1,3646.9,3635.8,Wednesday,2,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
84,2023-01-12,3642.5,3679.0,3612.0,3635.8,3647.2,Thursday,2,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
85,2023-01-13,3651.2,3736.05,3642.2,3647.2,3721.15,Friday,2,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
86,,,3880.0,3555.0,,,WEEKLY SUMMARY,2,2023,,,,,,,,,,,,,,,,
87,2023-01-16,3720.0,3739.95,3600.0,3721.15,3619.8,Monday,3,2023,BUY,1.0,3880.0,9.0,36057.4,4006.378,4246.76,3896.202,4116.553,LOWER - Buy Triggered at IRLower,,,,,,
88,2023-01-17,3620.0,3649.6,3560.2,3619.8,3639.35,Tuesday,3,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
89,2023-01-18,3648.0,3648.0,3527.1,3639.35,3596.7,Wednesday,3,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
90,2023-01-19,3470.0,3537.7,3426.7,3596.7,3463.55,Thursday,3,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
91,2023-01-20,3450.0,3477.35,3440.95,3463.55,3456.15,Friday,3,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
92,,,3739.95,3426.7,,,WEEKLY SUMMARY,3,2023,,,,,,,,,,,,,,,,
93,2023-01-23,3443.05,3460.0,3412.55,3456.15,3436.35,Monday,4,2023,BUY,1.0,3739.95,10.0,39797.35,3979.735,4218.519,3870.292,4089.178,LOWER - Buy Triggered at IRLower,,,,,,
94,2023-01-24,3447.45,3508.0,3430.0,3436.35,3442.0,Tuesday,4,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
95,2023-01-25,3422.0,3428.0,3315.0,3442.0,3388.95,Wednesday,4,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
96,2023-01-27,3335.0,3346.5,2712.0,3388.95,2761.45,Friday,4,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
97,,,3508.0,2712.0,,,WEEKLY SUMMARY,4,2023,,,,,,,,,,,,,,,,
98,2023-01-30,2850.0,3037.55,2665.0,2761.45,2892.85,Monday,5,2023,BUY,1.0,3508.0,11.0,43305.35,3936.85,4173.061,3828.587,4045.113,LOWER - Buy Triggered at IRLower,,,,,,
99,2023-01-31,2980.0,3073.6,2906.0,2892.85,2973.9,Tuesday,5,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
100,2023-02-01,2995.0,3010.75,1941.2,2973.9,2135.35,Wednesday,5,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
101,2023-02-02,2348.85,2348.85,1494.75,2135.35,1565.25,Thursday,5,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
102,2023-02-03,1490.0,1679.9,1017.45,1565.25,1586.8,Friday,5,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
103,,,3073.6,1017.45,,,WEEKLY SUMMARY,5,2023,,,,,,,,,,,,,,,,
104,2023-02-06,1575.0,1615.0,1435.2,1586.8,1572.7,Monday,6,2023,BUY,1.0,3073.6,12.0,46378.95,3864.912,4096.807,3758.627,3971.198,LOWER - Buy Triggered at IRLower,,,,,,
105,2023-02-07,1571.0,1962.7,1525.6,1572.7,1802.95,Tuesday,6,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
106,2023-02-08,1869.85,2222.15,1840.85,1802.95,2164.25,Wednesday,6,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
107,2023-02-09,2168.0,2168.0,1731.4,2164.25,1925.7,Thursday,6,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
108,2023-02-10,1769.0,1990.0,1733.15,1925.7,1846.95,Friday,6,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
109,,,2222.15,1435.2,,,WEEKLY SUMMARY,6,2023,,,,,,,,,,,,,,,,
110,2023-02-13,1850.0,1921.7,1662.25,1846.95,1717.65,Monday,7,2023,BUY,2.0,4444.3,14.0,50823.25,3630.232,3848.046,3530.401,3730.064,LOWER - Buy Triggered at IRLower,,,,,,
111,2023-02-14,1735.0,1889.0,1611.35,1717.65,1749.7,Tuesday,7,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
112,2023-02-15,1780.0,1824.4,1750.0,1749.7,1779.1,Wednesday,7,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
113,2023-02-16,1820.0,1874.95,1790.0,1779.1,1796.6,Thursday,7,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
114,2023-02-17,1800.0,1815.85,1703.2,1796.6,1722.7,Friday,7,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
115,,,1921.7,1611.35,,,WEEKLY SUMMARY,7,2023,,,,,,,,,,,,,,,,
116,2023-02-20,1650.0,1685.0,1560.5,1722.7,1621.45,Monday,8,2023,BUY,2.0,3843.4,16.0,54666.65,3416.666,3621.666,3322.707,3510.624,LOWER - Buy Triggered at IRLower,,,,,,
117,2023-02-21,1626.0,1644.45,1561.3,1621.45,1571.1,Tuesday,8,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
118,2023-02-22,1535.0,1560.0,1381.2,1571.1,1404.85,Wednesday,8,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
119,2023-02-23,1380.0,1438.0,1350.0,1404.85,1382.65,Thursday,8,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
120,2023-02-24,1410.0,1427.0,1261.6,1382.65,1315.65,Friday,8,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
121,,,1685.0,1261.6,,,WEEKLY SUMMARY,8,2023,,,,,,,,,,,,,,,,
122,2023-02-27,1300.0,1313.8,1131.05,1315.65,1193.5,Monday,9,2023,BUY,2.0,3370.0,18.0,58036.65,3224.258,3417.714,3135.591,3312.925,LOWER - Buy Triggered at IRLower,,,,,,
123,2023-02-28,1145.0,1398.0,1103.75,1193.5,1363.85,Tuesday,9,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
124,2023-03-01,1424.0,1580.0,1411.0,1363.85,1564.3,Wednesday,9,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
125,2023-03-02,1499.9,1646.0,1407.9,1564.3,1607.25,Thursday,9,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
126,2023-03-03,1688.85,1905.95,1685.5,1607.25,1879.5,Friday,9,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
127,,,1905.95,1103.75,,,WEEKLY SUMMARY,9,2023,,,,,,,,,,,,,,,,
128,2023-03-06,1966.7,2135.0,1855.0,1879.5,1982.9,Monday,10,2023,BUY,2.0,3811.9,20.0,61848.55,3092.428,3277.973,3007.386,3177.469,LOWER - Buy Triggered at IRLower,,,,,,
129,2023-03-08,2040.0,2088.0,1941.0,1982.9,2039.65,Wednesday,10,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
130,2023-03-09,2049.8,2068.85,1905.35,2039.65,1953.15,Thursday,10,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
131,2023-03-10,1870.0,1940.0,1820.6,1953.15,1896.2,Friday,10,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
132,,,2135.0,1820.6,,,WEEKLY SUMMARY,10,2023,,,,,,,,,,,,,,,,
133,2023-03-13,1917.0,1985.0,1857.4,1896.2,1874.4,Monday,11,2023,BUY,2.0,4270.0,22.0,66118.55,3005.389,3185.712,2922.74,3088.037,LOWER - Buy Triggered at IRLower,,,,,,
134,2023-03-14,1874.0,1874.85,1651.35,1874.4,1738.2,Tuesday,11,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
135,2023-03-15,1760.9,1891.45,1728.1,1738.2,1839.0,Wednesday,11,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
136,2023-03-16,1861.0,1875.0,1795.0,1839.0,1843.8,Thursday,11,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
137,2023-03-17,1901.0,1918.85,1845.0,1843.8,1876.55,Friday,11,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
138,,,1985.0,1651.35,,,WEEKLY SUMMARY,11,2023,,,,,,,,,,,,,,,,
139,2023-03-20,1837.0,1849.95,1777.4,1876.55,1804.95,Monday,12,2023,BUY,2.0,3970.0,24.0,70088.55,2920.356,3095.578,2840.046,3000.666,LOWER - Buy Triggered at IRLower,,,,,,
140,2023-03-21,1836.95,1861.0,1804.95,1804.95,1824.25,Tuesday,12,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
141,2023-03-22,1834.0,1850.0,1806.15,1824.25,1815.4,Wednesday,12,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
142,2023-03-23,1794.0,1834.0,1780.0,1815.4,1794.0,Thursday,12,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
143,2023-03-24,1796.0,1823.0,1695.25,1794.0,1740.65,Friday,12,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
144,,,1861.0,1695.25,,,WEEKLY SUMMARY,12,2023,,,,,,,,,,,,,,,,
145,2023-03-27,1740.65,1757.4,1682.0,1740.65,1723.05,Monday,13,2023,BUY,2.0,3722.0,26.0,73810.55,2838.867,3009.199,2760.798,2916.936,LOWER - Buy Triggered at IRLower,,,,,,
146,2023-03-28,1727.95,1733.0,1573.0,1723.05,1600.85,Tuesday,13,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
147,2023-03-29,1602.95,1756.0,1591.1,1600.85,1740.4,Wednesday,13,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
148,2023-03-31,1788.0,1825.0,1740.0,1740.4,1750.45,Friday,13,2023,NOTHING,,,,,,,,,One buy per week rule,,,,,,
149,,,1825.0,1573.0,,,WEEKLY SUMMARY,13,2023,,,,,,,,,,,,,,,,
